# transition rates in cm^3/s vs quantum number for nL->nL+/-1
# T = 10, rho= 1e+02, L = 1
#quantum
 550   2.0241e+05
 560   2.0805e+05
 570   2.1364e+05
 580   2.1918e+05
 590   2.2466e+05
 600   2.3009e+05
 610   2.3544e+05
 620   2.4073e+05
 630   2.4595e+05
 640   2.5108e+05
 650   2.5613e+05
 660   2.6109e+05
 670   2.6597e+05
 680   2.7075e+05
 690   2.7543e+05
 700   2.8000e+05
 710   2.8448e+05
 720   2.8885e+05
 730   2.9310e+05
 740   2.9725e+05
 750   3.0128e+05
 760   3.0519e+05
 770   3.0899e+05
 780   3.1266e+05
 790   3.1621e+05

# P_and_S
  20   6.6632e+01
  30   2.0487e+02
  40   4.4933e+02
  50   8.2060e+02
  60   1.3358e+03
  70   2.0094e+03
  80   2.8535e+03
  90   3.8784e+03
 100   5.0924e+03
 110   6.5027e+03
 120   8.1149e+03
 130   9.9334e+03
 140   1.1962e+04
 150   1.4202e+04
 160   1.6655e+04
 170   1.9322e+04
 180   2.2203e+04
 190   2.5295e+04
 200   2.8598e+04
 210   3.2108e+04
 220   3.5823e+04
 230   3.9737e+04
 240   4.3847e+04
 250   4.8148e+04
 260   5.2633e+04
 270   5.7297e+04
 280   6.2132e+04
 290   6.7132e+04
 300   7.2289e+04
 310   7.7594e+04
 320   8.3039e+04
 330   8.8615e+04
 340   9.4311e+04
 350   1.0012e+05
 360   1.0603e+05
 370   1.1203e+05
 380   1.1811e+05
 390   1.2425e+05
 400   1.3046e+05
 410   1.3670e+05
 420   1.4298e+05
 430   1.4928e+05
 440   1.5558e+05
 450   1.6187e+05
 460   1.6815e+05
 470   1.7438e+05
 480   1.8057e+05
 490   1.8669e+05
 500   1.9273e+05
 510   1.9868e+05
 520   2.0452e+05
 530   2.1023e+05
 540   2.1580e+05
 550   2.2122e+05
 560   2.2646e+05
 570   2.3151e+05
 580   2.3635e+05
 590   2.4096e+05
 600   2.4533e+05
 610   2.4945e+05
 620   2.5328e+05
 630   2.5682e+05
 640   2.6005e+05
 650   2.6294e+05
 660   2.6548e+05
 670   2.6765e+05
 680   2.6943e+05
 690   2.7080e+05
 700   2.7175e+05
 710   2.7224e+05
 720   2.7227e+05
 730   2.7181e+05
 740   2.7085e+05
 750   2.6935e+05
 760   2.6730e+05
 770   2.6469e+05
 780   2.6148e+05
 790   2.5766e+05
